 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  14. 3.    Time:  11:43:41
 Units: L = cm   , T = sec  , M = g    
 
 CosAlf,MaxIt,TolTh,  TolH
 1.000   10   0.001 1.00000
 
 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
     T     F     T     F     F     F     F     F     T     T     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)
 226     -4.500      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 227     -4.520      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 228     -4.540      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 229     -4.560      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 230     -4.580      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 231     -4.600      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 232     -4.620      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 233     -4.640      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 234     -4.660      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 235     -4.680      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 236     -4.700      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 237     -4.720      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 238     -4.740      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 239     -4.760      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 240     -4.780      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 241     -4.800      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 242     -4.820      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 243     -4.840      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 244     -4.860      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 245     -4.880      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 246     -4.900      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 247     -4.920      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 248     -4.940      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 249     -4.960      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 250     -4.980      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 251     -5.000      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 252     -5.020      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 253     -5.040      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 254     -5.060      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 255     -5.080      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 256     -5.100      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 257     -5.120      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 258     -5.140      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 259     -5.160      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 260     -5.180      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 261     -5.200      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 262     -5.220      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 263     -5.240      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 264     -5.260      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 265     -5.280      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 266     -5.300      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 267     -5.320      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 268     -5.340      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 269     -5.360      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 270     -5.380      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 271     -5.400      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 272     -5.420      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 273     -5.440      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 274     -5.460      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 275     -5.480      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 276     -5.500      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 277     -5.520      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 278     -5.540      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 279     -5.560      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 280     -5.580      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 281     -5.600      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 282     -5.620      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 283     -5.640      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 284     -5.660      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 285     -5.680      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 286     -5.700      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 287     -5.720      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 288     -5.740      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 289     -5.760      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 290     -5.780      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
