,ini,-0.12,-0.26,-0.76,-1.5,-2.5,-3.5,-4.5
1,0.003917031,0.0005992,0.001469,0.003338,0.003911,0.003917,0.003917,0.003917
1,0.003384531,0.0005177,0.001269,0.002884,0.003379,0.003385,0.003385,0.003385
1,0.003313531,0.0005069,0.001243,0.002823,0.003308,0.003314,0.003314,0.003314
1,0.003313531,0.0005069,0.001243,0.002823,0.003308,0.003314,0.003314,0.003314
1,0.003775031,0.0005775,0.001416,0.003217,0.003769,0.003775,0.003775,0.003775
1,0.003313531,0.0005069,0.001243,0.002823,0.003308,0.003314,0.003314,0.003314
1,0.003775031,0.0005775,0.001416,0.003217,0.003769,0.003775,0.003775,0.003775
1,0.003881531,0.0005938,0.001456,0.003307,0.003876,0.003882,0.003882,0.003882
1,0.003881531,0.0005938,0.001456,0.003307,0.003876,0.003882,0.003882,0.003882
1,0.003207031,0.0004906,0.001203,0.002733,0.003202,0.003207,0.003207,0.003207
1,0.003881531,0.0005938,0.001456,0.003307,0.003876,0.003882,0.003882,0.003882
1,0.003207031,0.0004906,0.001203,0.002733,0.003202,0.003207,0.003207,0.003207
1,0.003029531,0.0004634,0.001136,0.002581,0.003025,0.003029,0.003029,0.003029
1,0.003029531,0.0004634,0.001136,0.002581,0.003025,0.003029,0.003029,0.003029
1,0.003491031,0.000534,0.001309,0.002975,0.003486,0.003491,0.003491,0.003491
1,0.003029531,0.0004634,0.001136,0.002581,0.003025,0.003029,0.003029,0.003029
1,0.003491031,0.000534,0.001309,0.002975,0.003486,0.003491,0.003491,0.003491
1,0.003597531,0.0005503,0.001349,0.003065,0.003592,0.003598,0.003598,0.003598
1,0.003597531,0.0005503,0.001349,0.003065,0.003592,0.003598,0.003598,0.003598
1,0.004059031,0.0006209,0.001522,0.003459,0.004053,0.004059,0.004059,0.004059
1,0.003597531,0.0005503,0.001349,0.003065,0.003592,0.003598,0.003598,0.003598
1,0.004059031,0.0006209,0.001522,0.003459,0.004053,0.004059,0.004059,0.004059
1,0.003171531,0.0004852,0.001189,0.002702,0.003167,0.003171,0.003171,0.003171
1,0.003171531,0.0004852,0.001189,0.002702,0.003167,0.003171,0.003171,0.003171
1,0.003917031,0.0005992,0.001469,0.003338,0.003911,0.003917,0.003917,0.003917
1,0.003171531,0.0004852,0.001189,0.002702,0.003167,0.003171,0.003171,0.003171
1,0.003917031,0.0005992,0.001469,0.003338,0.003911,0.003917,0.003917,0.003917
1,0.003739531,0.000572,0.001402,0.003186,0.003734,0.003739,0.003739,0.003739
1,0.003739531,0.000572,0.001402,0.003186,0.003734,0.003739,0.003739,0.003739
1,0.003349031,0.0005123,0.001256,0.002854,0.003344,0.003349,0.003349,0.003349
1,0.003739531,0.000572,0.001402,0.003186,0.003734,0.003739,0.003739,0.003739
1,0.003349031,0.0005123,0.001256,0.002854,0.003344,0.003349,0.003349,0.003349
1,0.003455531,0.0005286,0.001296,0.002944,0.00345,0.003455,0.003455,0.003455
1,0.003455531,0.0005286,0.001296,0.002944,0.00345,0.003455,0.003455,0.003455
1,0.003065031,0.0004689,0.001149,0.002612,0.00306,0.003065,0.003065,0.003065
1,0.003455531,0.0005286,0.001296,0.002944,0.00345,0.003455,0.003455,0.003455
1,0.003065031,0.0004689,0.001149,0.002612,0.00306,0.003065,0.003065,0.003065
1,0.004023531,0.0006155,0.001509,0.003428,0.004017,0.004023,0.004023,0.004023
1,0.004023531,0.0006155,0.001509,0.003428,0.004017,0.004023,0.004023,0.004023
1,0.003633031,0.0005557,0.001362,0.003096,0.003627,0.003633,0.003633,0.003633
1,0.004023531,0.0006155,0.001509,0.003428,0.004017,0.004023,0.004023,0.004023
1,0.003633031,0.0005557,0.001362,0.003096,0.003627,0.003633,0.003633,0.003633
1,0.003100531,0.0004743,0.001163,0.002642,0.003096,0.003101,0.003101,0.003101
1,0.003100531,0.0004743,0.001163,0.002642,0.003096,0.003101,0.003101,0.003101
1,0.003278031,0.0005014,0.001229,0.002793,0.003273,0.003278,0.003278,0.003278
1,0.003100531,0.0004743,0.001163,0.002642,0.003096,0.003101,0.003101,0.003101
1,0.003278031,0.0005014,0.001229,0.002793,0.003273,0.003278,0.003278,0.003278
1,0.003668531,0.0005612,0.001376,0.003126,0.003663,0.003668,0.003668,0.003668
1,0.003668531,0.0005612,0.001376,0.003126,0.003663,0.003668,0.003668,0.003668
1,0.003846031,0.0005883,0.001442,0.003277,0.00384,0.003846,0.003846,0.003846
1,0.003668531,0.0005612,0.001376,0.003126,0.003663,0.003668,0.003668,0.003668
1,0.003846031,0.0005883,0.001442,0.003277,0.00384,0.003846,0.003846,0.003846
1,0.003384531,0.0005177,0.001269,0.002884,0.003379,0.003385,0.003385,0.003385
1,0.003384531,0.0005177,0.001269,0.002884,0.003379,0.003385,0.003385,0.003385
1,0.004130031,0.0006318,0.001549,0.003519,0.004124,0.00413,0.00413,0.00413
1,0.003384531,0.0005177,0.001269,0.002884,0.003379,0.003385,0.003385,0.003385
1,0.004130031,0.0006318,0.001549,0.003519,0.004124,0.00413,0.00413,0.00413
1,0.003952531,0.0006046,0.001482,0.003368,0.003947,0.003953,0.003953,0.003953
1,0.003952531,0.0006046,0.001482,0.003368,0.003947,0.003953,0.003953,0.003953
1,0.003562031,0.0005449,0.001336,0.003035,0.003556,0.003562,0.003562,0.003562
1,0.003952531,0.0006046,0.001482,0.003368,0.003947,0.003953,0.003953,0.003953
1,0.003562031,0.0005449,0.001336,0.003035,0.003556,0.003562,0.003562,0.003562
1,0.003526531,0.0005395,0.001322,0.003005,0.003521,0.003527,0.003527,0.003527
1,0.003526531,0.0005395,0.001322,0.003005,0.003521,0.003527,0.003527,0.003527
1,0.003420031,0.0005232,0.001283,0.002914,0.003415,0.00342,0.00342,0.00342
1,0.003526531,0.0005395,0.001322,0.003005,0.003521,0.003527,0.003527,0.003527
