,ini,-0.09,-0.22,-0.71,-1.5,-2.5,-3.5,-4.5
1,0.004797168,0.00087125,0.002116,0.00458,0.004797,0.004797,0.004797,0.004797
1,0.004495527,0.00081645,0.001983,0.004292,0.004496,0.004496,0.004496,0.004496
1,0.004495527,0.00081645,0.001983,0.004292,0.004496,0.004496,0.004496,0.004496
1,0.004212168,0.000765,0.001858,0.004022,0.004212,0.004212,0.004212,0.004212
1,0.004212168,0.000765,0.001858,0.004022,0.004212,0.004212,0.004212,0.004212
1,0.004212168,0.000765,0.001858,0.004022,0.004212,0.004212,0.004212,0.004212
1,0.003910527,0.0007102,0.001725,0.003734,0.003911,0.003911,0.003911,0.003911
1,0.003910527,0.0007102,0.001725,0.003734,0.003911,0.003911,0.003911,0.003911
1,0.004504668,0.00081815,0.001987,0.004301,0.004505,0.004505,0.004505,0.004505
1,0.004504668,0.00081815,0.001987,0.004301,0.004505,0.004505,0.004505,0.004505
1,0.004504668,0.00081815,0.001987,0.004301,0.004505,0.004505,0.004505,0.004505
1,0.004203027,0.00076335,0.001854,0.004013,0.004203,0.004203,0.004203,0.004203
1,0.004203027,0.00076335,0.001854,0.004013,0.004203,0.004203,0.004203,0.004203
1,0.003919668,0.0007119,0.001729,0.0037425,0.00392,0.00392,0.00392,0.00392
1,0.003919668,0.0007119,0.001729,0.0037425,0.00392,0.00392,0.00392,0.00392
1,0.003919668,0.0007119,0.001729,0.0037425,0.00392,0.00392,0.00392,0.00392
1,0.004788027,0.00086955,0.002112,0.004571,0.004788,0.004788,0.004788,0.004788
1,0.004788027,0.00086955,0.002112,0.004571,0.004788,0.004788,0.004788,0.004788
1,0.004065918,0.0007384,0.001793,0.0038825,0.004066,0.004066,0.004066,0.004066
1,0.004065918,0.0007384,0.001793,0.0038825,0.004066,0.004066,0.004066,0.004066
1,0.004065918,0.0007384,0.001793,0.0038825,0.004066,0.004066,0.004066,0.004066
1,0.004349277,0.00078985,0.001918,0.0041525,0.004349,0.004349,0.004349,0.004349
1,0.004349277,0.00078985,0.001918,0.0041525,0.004349,0.004349,0.004349,0.004349
1,0.004650918,0.00084465,0.002051,0.0044405,0.004651,0.004651,0.004651,0.004651
1,0.004650918,0.00084465,0.002051,0.0044405,0.004651,0.004651,0.004651,0.004651
1,0.004650918,0.00084465,0.002051,0.0044405,0.004651,0.004651,0.004651,0.004651
1,0.003764277,0.00068365,0.00166,0.0035945,0.003764,0.003764,0.003764,0.003764
1,0.003764277,0.00068365,0.00166,0.0035945,0.003764,0.003764,0.003764,0.003764
1,0.003773418,0.0006853,0.001664,0.0036025,0.003773,0.003773,0.003773,0.003773
1,0.003773418,0.0006853,0.001664,0.0036025,0.003773,0.003773,0.003773,0.003773
1,0.003773418,0.0006853,0.001664,0.0036025,0.003773,0.003773,0.003773,0.003773
1,0.004056777,0.00073675,0.001789,0.0038735,0.004057,0.004057,0.004057,0.004057
1,0.004056777,0.00073675,0.001789,0.0038735,0.004057,0.004057,0.004057,0.004057
1,0.004358418,0.00079155,0.001922,0.0041615,0.004358,0.004358,0.004358,0.004358
1,0.004358418,0.00079155,0.001922,0.0041615,0.004358,0.004358,0.004358,0.004358
1,0.004358418,0.00079155,0.001922,0.0041615,0.004358,0.004358,0.004358,0.004358
1,0.004641777,0.000843,0.002047,0.0044315,0.004642,0.004642,0.004642,0.004642
1,0.004641777,0.000843,0.002047,0.0044315,0.004642,0.004642,0.004642,0.004642
1,0.004175605,0.00075835,0.001842,0.003987,0.004176,0.004176,0.004176,0.004176
1,0.004175605,0.00075835,0.001842,0.003987,0.004176,0.004176,0.004176,0.004176
1,0.004175605,0.00075835,0.001842,0.003987,0.004176,0.004176,0.004176,0.004176
1,0.00380084,0.00069025,0.001676,0.003629,0.003801,0.003801,0.003801,0.003801
1,0.00380084,0.00069025,0.001676,0.003629,0.003801,0.003801,0.003801,0.003801
1,0.004760605,0.00086465,0.0021,0.0045455,0.004761,0.004761,0.004761,0.004761
1,0.004760605,0.00086465,0.0021,0.0045455,0.004761,0.004761,0.004761,0.004761
1,0.004760605,0.00086465,0.0021,0.0045455,0.004761,0.004761,0.004761,0.004761
1,0.00438584,0.00079655,0.001934,0.0041875,0.004386,0.004386,0.004386,0.004386
1,0.00438584,0.00079655,0.001934,0.0041875,0.004386,0.004386,0.004386,0.004386
1,0.003883105,0.00070525,0.001713,0.003708,0.003883,0.003883,0.003883,0.003883
1,0.003883105,0.00070525,0.001713,0.003708,0.003883,0.003883,0.003883,0.003883
1,0.003883105,0.00070525,0.001713,0.003708,0.003883,0.003883,0.003883,0.003883
1,0.00467834,0.0008497,0.002064,0.0044665,0.004678,0.004678,0.004678,0.004678
1,0.00467834,0.0008497,0.002064,0.0044665,0.004678,0.004678,0.004678,0.004678
1,0.004468105,0.0008115,0.001971,0.004266,0.004468,0.004468,0.004468,0.004468
1,0.004468105,0.0008115,0.001971,0.004266,0.004468,0.004468,0.004468,0.004468
1,0.004468105,0.0008115,0.001971,0.004266,0.004468,0.004468,0.004468,0.004468
1,0.00409334,0.00074345,0.001805,0.0039085,0.004094,0.004094,0.004094,0.004094
1,0.00409334,0.00074345,0.001805,0.0039085,0.004094,0.004094,0.004094,0.004094
