,ini,-0.12,-0.24,-0.74,-1.5,-2.5,-3.5,-4.5,,,,,,,,,,,,,,
1,0.003937254,0.0008987,0.00173,0.003767,0.003937,0.003937,0.003937,0.003937,,,,,,,,,,,,,,
1,0.003937254,0.0008987,0.00173,0.003767,0.003937,0.003937,0.003937,0.003937,,,,,,,,,,,,,,
1,0.003937254,0.0008987,0.00173,0.003767,0.003937,0.003937,0.003937,0.003937,,,,,,,,,,,,,,
1,0.003937254,0.0008987,0.00173,0.003767,0.003937,0.003937,0.003937,0.003937,,,,,,,,,,,,,,
1,0.003937254,0.0008987,0.00173,0.003767,0.003937,0.003937,0.003937,0.003937,,,,,,,,,,,,,,
1,0.003940715,0.0008994,0.001732,0.00377,0.003941,0.003941,0.003941,0.003941,,,,,,,,,,,,,,
1,0.003940715,0.0008994,0.001732,0.00377,0.003941,0.003941,0.003941,0.003941,,,,,,,,,,,,,,
1,0.003940715,0.0008994,0.001732,0.00377,0.003941,0.003941,0.003941,0.003941,,,,,,,,,,,,,,
1,0.003940715,0.0008994,0.001732,0.00377,0.003941,0.003941,0.003941,0.003941,,,,,,,,,,,,,,
1,0.003940715,0.0008994,0.001732,0.00377,0.003941,0.003941,0.003941,0.003941,,,,,,,,,,,,,,
1,0.003944176,0.0009002,0.001733,0.003773,0.003944,0.003944,0.003944,0.003944,,,,,,,,,,,,,,
1,0.003944176,0.0009002,0.001733,0.003773,0.003944,0.003944,0.003944,0.003944,,,,,,,,,,,,,,
1,0.003944176,0.0009002,0.001733,0.003773,0.003944,0.003944,0.003944,0.003944,,,,,,,,,,,,,,
1,0.003944176,0.0009002,0.001733,0.003773,0.003944,0.003944,0.003944,0.003944,,,,,,,,,,,,,,
1,0.003944176,0.0009002,0.001733,0.003773,0.003944,0.003944,0.003944,0.003944,,,,,,,,,,,,,,
1,0.003947637,0.000901,0.001735,0.003777,0.003948,0.003948,0.003948,0.003948,,,,,,,,,,,,,,
1,0.003947637,0.000901,0.001735,0.003777,0.003948,0.003948,0.003948,0.003948,,,,,,,,,,,,,,
1,0.003947637,0.000901,0.001735,0.003777,0.003948,0.003948,0.003948,0.003948,,,,,,,,,,,,,,
1,0.003947637,0.000901,0.001735,0.003777,0.003948,0.003948,0.003948,0.003948,,,,,,,,,,,,,,
1,0.003947637,0.000901,0.001735,0.003777,0.003948,0.003948,0.003948,0.003948,,,,,,,,,,,,,,
1,0.003951098,0.0009018,0.001737,0.00378,0.003951,0.003951,0.003951,0.003951,,,,,,,,,,,,,,
1,0.003951098,0.0009018,0.001737,0.00378,0.003951,0.003951,0.003951,0.003951,,,,,,,,,,,,,,
1,0.003951098,0.0009018,0.001737,0.00378,0.003951,0.003951,0.003951,0.003951,,,,,,,,,,,,,,
1,0.003951098,0.0009018,0.001737,0.00378,0.003951,0.003951,0.003951,0.003951,,,,,,,,,,,,,,
1,0.003951098,0.0009018,0.001737,0.00378,0.003951,0.003951,0.003951,0.003951,,,,,,,,,,,,,,
1,0.003954559,0.0009026,0.001738,0.003783,0.003955,0.003955,0.003955,0.003955,,,,,,,,,,,,,,
1,0.003954559,0.0009026,0.001738,0.003783,0.003955,0.003955,0.003955,0.003955,,,,,,,,,,,,,,
1,0.003954559,0.0009026,0.001738,0.003783,0.003955,0.003955,0.003955,0.003955,,,,,,,,,,,,,,
1,0.003954559,0.0009026,0.001738,0.003783,0.003955,0.003955,0.003955,0.003955,,,,,,,,,,,,,,
1,0.003954559,0.0009026,0.001738,0.003783,0.003955,0.003955,0.003955,0.003955,,,,,,,,,,,,,,
1,0.00395802,0.0009034,0.00174,0.003787,0.003958,0.003958,0.003958,0.003958,,,,,,,,,,,,,,
1,0.00395802,0.0009034,0.00174,0.003787,0.003958,0.003958,0.003958,0.003958,,,,,,,,,,,,,,
1,0.00395802,0.0009034,0.00174,0.003787,0.003958,0.003958,0.003958,0.003958,,,,,,,,,,,,,,
1,0.00395802,0.0009034,0.00174,0.003787,0.003958,0.003958,0.003958,0.003958,,,,,,,,,,,,,,
1,0.00395802,0.0009034,0.00174,0.003787,0.003958,0.003958,0.003958,0.003958,,,,,,,,,,,,,,
1,0.00396148,0.0009042,0.001741,0.00379,0.003962,0.003962,0.003962,0.003962,,,,,,,,,,,,,,
1,0.00396148,0.0009042,0.001741,0.00379,0.003962,0.003962,0.003962,0.003962,,,,,,,,,,,,,,
1,0.00396148,0.0009042,0.001741,0.00379,0.003962,0.003962,0.003962,0.003962,,,,,,,,,,,,,,
1,0.00396148,0.0009042,0.001741,0.00379,0.003962,0.003962,0.003962,0.003962,,,,,,,,,,,,,,
1,0.00396148,0.0009042,0.001741,0.00379,0.003962,0.003962,0.003962,0.003962,,,,,,,,,,,,,,
1,0.003964941,0.000905,0.001743,0.003793,0.003965,0.003965,0.003965,0.003965,,,,,,,,,,,,,,
1,0.003964941,0.000905,0.001743,0.003793,0.003965,0.003965,0.003965,0.003965,,,,,,,,,,,,,,
1,0.003964941,0.000905,0.001743,0.003793,0.003965,0.003965,0.003965,0.003965,,,,,,,,,,,,,,
1,0.003964941,0.000905,0.001743,0.003793,0.003965,0.003965,0.003965,0.003965,,,,,,,,,,,,,,
1,0.003964941,0.000905,0.001743,0.003793,0.003965,0.003965,0.003965,0.003965,,,,,,,,,,,,,,
