 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 4.    Time:  11:31:16
 Units: L = cm   , T = sec  , M = g    


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  170      3.38     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  171      3.40     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  172      3.42     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  173      3.44     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  174      3.46     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  175      3.48     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  176      3.50     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  177      3.52     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  178      3.54     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  179      3.56     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  180      3.58     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  181      3.60     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  182      3.62     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  183      3.64     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  184      3.66     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  185      3.68     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  186      3.70     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  187      3.72     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  188      3.74     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  189      3.76     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  190      3.78     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  191      3.80     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  192      3.82     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  193      3.84     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  194      3.86     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  195      3.88     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  196      3.90     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  197      3.92     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  198      3.94     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  199      3.96     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  200      3.98     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  201      4.00     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  202      4.02     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  203      4.04     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  204      4.06     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  205      4.08     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  206      4.10     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  207      4.12     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  208      4.14     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  209      4.16     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  210      4.18     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  211      4.20     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  212      4.22     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  213      4.24     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  214      4.26     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  215      4.28     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  216      4.30     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  217      4.32     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  218      4.34     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  219      4.36     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  220      4.38     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  221      4.40     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  222      4.42     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  223      4.44     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  224      4.46     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  225      4.48     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  226      4.50     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  227      4.52     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
